ID;Active (0/1);Name *;Categories (x,y,z...);Reference #;EAN13;Tags,(x,y,z...);Feature(Name:Value:Position)
582;1;Buddh International Circuit;8;Greater Noida;Uttar Pradesh;Buddh,International,Circuit,Greater,Noida,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Greater Noida
583;1;Devdari Waterfalls;8;Chandauli;Uttar Pradesh;Devdari,Waterfalls,Chandauli,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Chandauli
584;1;Shabari Waterfalls;8;Chitrakoot;Uttar Pradesh;Shabari,Waterfalls,Chitrakoot,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Chitrakoot
585;1;Lakhaniya Dari Waterfalls;8;Mirzapur;Uttar Pradesh;Lakhaniya,Dari,Waterfalls,Mirzapur,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Mirzapur
586;1;Vindham waterfall;8;Mirzapur;Uttar Pradesh;Vindham,waterfall,Mirzapur,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Mirzapur
587;1;Sidhnath Dari Waterfalls;8;Mirzapur;Uttar Pradesh;Sidhnath,Dari,Waterfalls,Mirzapur,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Mirzapur
588;1;Dabdaba Waterfalls;8;Jawahar;Uttar Pradesh;Dabdaba,Waterfalls,Jawahar,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Jawahar
589;1;Wyndham Falls;8;Mirzapur;Uttar Pradesh;Wyndham,Falls,Mirzapur,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:Mirzapur
590;1;Rajdari;8;;Uttar Pradesh;Rajdari,Uttar,Pradesh;State:Uttar Pradesh,Dist/Location:
591;1;Nainital;8;Nainital;Uttarakhand;Nainital,Nainital,Uttarakhand;State:Uttarakhand,Dist/Location:Nainital
592;1;Rishikesh;8;Rishikesh;Uttarakhand;Rishikesh,Rishikesh,Uttarakhand;State:Uttarakhand,Dist/Location:Rishikesh
593;1;Dehradun;8;Dehradun;Uttarakhand;Dehradun,Dehradun,Uttarakhand;State:Uttarakhand,Dist/Location:Dehradun
594;1;Haridwar;8;Haridwar;Uttarakhand;Haridwar,Haridwar,Uttarakhand;State:Uttarakhand,Dist/Location:Haridwar
595;1;Mussoorie;8;Dehradun;Uttarakhand;Mussoorie,Dehradun,Uttarakhand;State:Uttarakhand,Dist/Location:Dehradun
596;1;Jim Corbett National Park;8;Ramnagar;Uttarakhand;Jim,Corbett,National,Park,Ramnagar,Uttarakhand;State:Uttarakhand,Dist/Location:Ramnagar
597;1;Auli;8;Garhwal;Uttarakhand;Auli,Garhwal,Uttarakhand;State:Uttarakhand,Dist/Location:Garhwal
598;1;Ranikhet;8;Almora;Uttarakhand;Ranikhet,Almora,Uttarakhand;State:Uttarakhand,Dist/Location:Almora
599;1;Badrinath;8;Chamoli;Uttarakhand;Badrinath,Chamoli,Uttarakhand;State:Uttarakhand,Dist/Location:Chamoli
600;1;Almora;8;Almora;Uttarakhand;Almora,Almora,Uttarakhand;State:Uttarakhand,Dist/Location:Almora
601;1;Valley of Flowers National Park;8;;Uttarakhand;Valley,of,Flowers,National,Park,Uttarakhand;State:Uttarakhand,Dist/Location:
602;1;Lansdowne;8;Garhwal;Uttarakhand;Lansdowne,Garhwal,Uttarakhand;State:Uttarakhand,Dist/Location:Garhwal
603;1;Kedarnath;8;Rudraprayag;Uttarakhand;Kedarnath,Rudraprayag,Uttarakhand;State:Uttarakhand,Dist/Location:Rudraprayag
604;1;Kausani;8;Bageshwar;Uttarakhand;Kausani,Bageshwar,Uttarakhand;State:Uttarakhand,Dist/Location:Bageshwar
605;1;Gangotri;8;Uttarkashi;Uttarakhand;Gangotri,Uttarkashi,Uttarakhand;State:Uttarakhand,Dist/Location:Uttarkashi
606;1;Dhanaulti;8;Mussoorie;Uttarakhand;Dhanaulti,Mussoorie,Uttarakhand;State:Uttarakhand,Dist/Location:Mussoorie
607;1;Uttarkashi;8;Uttarkashi;Uttarakhand;Uttarkashi,Uttarkashi,Uttarakhand;State:Uttarakhand,Dist/Location:Uttarkashi
608;1;Mukteshwar;8;;Uttarakhand;Mukteshwar,Uttarakhand;State:Uttarakhand,Dist/Location:
609;1;Munsiyari;8;Pithoragarh;Uttarakhand;Munsiyari,Pithoragarh,Uttarakhand;State:Uttarakhand,Dist/Location:Pithoragarh
610;1;Bhimtal;8;Nainital;Uttarakhand;Bhimtal,Nainital,Uttarakhand;State:Uttarakhand,Dist/Location:Nainital
611;1;Chakrata;8;Dehradun;Uttarakhand;Chakrata,Dehradun,Uttarakhand;State:Uttarakhand,Dist/Location:Dehradun
612;1;Kanatal;8;;Uttarakhand;Kanatal,Uttarakhand;State:Uttarakhand,Dist/Location:
613;1;Jyotirmath;8;Chamoli;Uttarakhand;Jyotirmath,Chamoli,Uttarakhand;State:Uttarakhand,Dist/Location:Chamoli
614;1;Chopta;8;Chopta;Uttarakhand;Chopta,Chopta,Uttarakhand;State:Uttarakhand,Dist/Location:Chopta
615;1;Kathgodam;8;Nainital;Uttarakhand;Kathgodam,Nainital,Uttarakhand;State:Uttarakhand,Dist/Location:Nainital
616;1;Nanda Devi National Park;8;Joshimath;Uttarakhand;Nanda,Devi,National,Park,Joshimath,Uttarakhand;State:Uttarakhand,Dist/Location:Joshimath
617;1;Tehri;8;Tehri;Uttarakhand;Tehri,Tehri,Uttarakhand;State:Uttarakhand,Dist/Location:Tehri
